run_id,statement_id,domain,arm,n_reframes,naming_failures,encode_failures,judge_failures,diversity,coherence,tokens,calls,cache_hits
20260808T152650Z,product-1,product,A,8,0,0,0,0.9493,3.0000,654,10,0
20260808T152650Z,product-1,product,B,8,0,0,0,1.0220,3.0000,840,17,0
20260808T152650Z,product-2,product,A,8,0,0,0,0.9939,5.0000,654,10,0
20260808T152650Z,product-2,product,B,8,0,0,0,1.0244,5.0000,842,17,0
20260808T152650Z,product-3,product,A,8,0,0,0,0.8519,3.0000,652,10,0
20260808T152650Z,product-3,product,B,8,0,0,0,1.0727,3.0000,844,17,0
20260808T152650Z,product-4,product,A,8,0,0,0,1.0969,4.0000,652,10,0
20260808T152650Z,product-4,product,B,8,0,0,0,1.0021,4.0000,842,17,0
20260808T152650Z,product-5,product,A,8,0,0,0,1.0115,5.0000,654,10,0
20260808T152650Z,product-5,product,B,8,0,0,0,1.0234,5.0000,843,17,0
20260808T152650Z,policy-1,policy,A,8,0,0,0,1.0466,5.0000,652,10,0
20260808T152650Z,policy-1,policy,B,8,0,0,0,0.9286,5.0000,842,17,0
20260808T152650Z,policy-2,policy,A,8,0,0,0,1.0361,3.0000,655,10,0
20260808T152650Z,policy-2,policy,B,8,0,0,0,1.0551,3.0000,842,17,0
20260808T152650Z,policy-3,policy,A,8,0,0,0,1.0468,5.0000,653,10,0
20260808T152650Z,policy-3,policy,B,8,0,0,0,0.9952,5.0000,842,17,0
20260808T152650Z,policy-4,policy,A,8,0,0,0,1.0255,4.0000,653,10,0
20260808T152650Z,policy-4,policy,B,8,0,0,0,0.9504,4.0000,842,17,0
20260808T152650Z,policy-5,policy,A,8,0,0,0,0.9723,3.0000,652,10,0
20260808T152650Z,policy-5,policy,B,8,0,0,0,0.9820,3.0000,841,17,0
20260808T152650Z,science-1,science,A,8,0,0,0,1.0818,3.0000,655,10,0
20260808T152650Z,science-1,science,B,8,0,0,0,1.0783,3.0000,843,17,0
20260808T152650Z,science-2,science,A,8,0,0,0,1.0048,4.0000,652,10,0
20260808T152650Z,science-2,science,B,8,0,0,0,0.9557,4.0000,844,17,0
20260808T152650Z,science-3,science,A,8,0,0,0,0.9849,3.0000,653,10,0
20260808T152650Z,science-3,science,B,8,0,0,0,1.1035,3.0000,845,17,0
20260808T152650Z,science-4,science,A,8,0,0,0,0.9914,5.0000,651,10,0
20260808T152650Z,science-4,science,B,8,0,0,0,1.0642,5.0000,841,17,0
20260808T152650Z,science-5,science,A,8,0,0,0,0.9983,3.0000,651,10,0
20260808T152650Z,science-5,science,B,8,0,0,0,1.0431,3.0000,846,17,0
20260808T152650Z,design-1,design,A,8,0,0,0,0.9369,5.0000,656,10,0
20260808T152650Z,design-1,design,B,8,0,0,0,1.0632,5.0000,844,17,0
20260808T152650Z,design-2,design,A,8,0,0,0,1.0054,4.0000,654,10,0
