metric,value,bar,date,note
statediff_compliance,20/20,20/20,2026-08-13,2026-08-13
statediff_coverage,1.0000,>=0.95,2026-08-13,2026-08-13
statediff_defects,0,0,2026-08-13,2026-08-13
coverage_delta,3.33,>=1.0 (validated +1.15),2026-08-20,verdict PASS
coverage_original_missing,3.33,-,2026-08-20,POC-05 Arm-A
coverage_audited_missing,0.00,-,2026-08-20,after production audit
statediff_repaired_compliance,18/20,20/20,2026-08-20,method=same_record_value_pair_v1; protocol=state_diff.measurement.same_record_value_pair_v1; source_hash=f580b9962b412b5101a7aa2c85f3baa32bad1f249aa254804cb71d5beb400963; protocol_hash=6f7637c577ec6aacc587f6750165c1f82fe431825d216a7e2810bfad2aab47f7; model_status=single_model
statediff_repaired_coverage,0.9000,>=0.95,2026-08-20,method=same_record_value_pair_v1; protocol=state_diff.measurement.same_record_value_pair_v1; source_hash=f580b9962b412b5101a7aa2c85f3baa32bad1f249aa254804cb71d5beb400963; protocol_hash=6f7637c577ec6aacc587f6750165c1f82fe431825d216a7e2810bfad2aab47f7; model_status=single_model
statediff_repaired_defects,2,0,2026-08-20,method=same_record_value_pair_v1; protocol=state_diff.measurement.same_record_value_pair_v1; source_hash=f580b9962b412b5101a7aa2c85f3baa32bad1f249aa254804cb71d5beb400963; protocol_hash=6f7637c577ec6aacc587f6750165c1f82fe431825d216a7e2810bfad2aab47f7; model_status=single_model
reframe_diversity,0.538,PASS,2026-08-20,bar >= 0.403
reframe_coherence,4.15,PASS,2026-08-20,bar >= 3.5
reframe_production_defects,0,PASS,2026-08-20,zero production defects required
reframe_metric_degenerates,0,documented,2026-08-20,deterministic zero-vector encodes; not product defects
